year_month,events,total_deaths,civilian_deaths,conflict
2014-03,1,2,0,Russia-Ukraine
2014-04,1,1,0,Russia-Ukraine
2016-08,1,2,0,Russia-Ukraine
2022-02,262,23397,10952,Russia-Ukraine
2022-03,922,27111,3283,Russia-Ukraine
2022-04,545,5271,687,Russia-Ukraine
2022-05,685,5092,639,Russia-Ukraine
2022-06,777,3426,451,Russia-Ukraine
2022-07,681,3611,389,Russia-Ukraine
2022-08,829,3812,368,Russia-Ukraine
2022-09,818,4660,559,Russia-Ukraine
2022-10,666,6217,344,Russia-Ukraine
2022-11,538,7585,257,Russia-Ukraine
2022-12,549,9291,234,Russia-Ukraine
2023-01,862,14474,251,Russia-Ukraine
2023-02,621,7550,151,Russia-Ukraine
2023-03,693,6378,177,Russia-Ukraine
2023-04,559,4390,203,Russia-Ukraine
2023-05,857,4624,227,Russia-Ukraine
2023-06,728,4821,206,Russia-Ukraine
2023-07,794,4629,184,Russia-Ukraine
2023-08,1093,4274,188,Russia-Ukraine
2023-09,961,3740,182,Russia-Ukraine
2023-10,1100,10070,264,Russia-Ukraine
2023-11,1323,5886,140,Russia-Ukraine
2023-12,1209,5418,184,Russia-Ukraine
2024-01,1174,12578,225,Russia-Ukraine
2024-02,1155,5053,165,Russia-Ukraine
2024-03,1196,7032,170,Russia-Ukraine
2024-04,1091,6616,207,Russia-Ukraine
2024-05,1559,8397,258,Russia-Ukraine
2024-06,1565,7326,248,Russia-Ukraine
2024-07,679,8458,255,Russia-Ukraine
2024-08,729,9508,266,Russia-Ukraine
2024-09,829,9323,243,Russia-Ukraine
2024-10,758,9282,223,Russia-Ukraine
2024-11,581,9370,190,Russia-Ukraine
2024-12,476,9177,159,Russia-Ukraine
2025-01,432,8125,151,Russia-Ukraine
2025-02,611,6555,167,Russia-Ukraine
2025-03,690,6814,209,Russia-Ukraine
2025-04,682,5922,255,Russia-Ukraine
2025-05,547,5321,232,Russia-Ukraine
2025-06,526,5793,269,Russia-Ukraine
2025-07,715,7618,347,Russia-Ukraine
2025-08,824,20891,292,Russia-Ukraine
2025-09,845,1693,282,Russia-Ukraine
2025-10,785,5102,211,Russia-Ukraine
2025-11,666,10757,250,Russia-Ukraine
2025-12,702,10150,191,Russia-Ukraine
